age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,zscores
30,services,single,secondary,no,399,yes,yes,unknown,23,may,158,3,-1,0,unknown,no,-0.3163733321313102
33,management,single,tertiary,no,1150,yes,no,telephone,12,may,109,2,-1,0,unknown,no,-0.0697178099088525
35,management,married,tertiary,no,750,yes,no,cellular,18,aug,233,12,-1,0,unknown,no,-0.20109225583293117
33,admin.,single,secondary,no,315,yes,yes,cellular,14,may,888,3,-1,0,unknown,yes,-0.3439619657753667
41,technician,single,secondary,no,297,no,yes,cellular,12,aug,140,2,-1,0,unknown,no,-0.34987381584195026
44,blue-collar,married,primary,no,401,yes,no,cellular,18,may,41,1,-1,0,unknown,no,-0.3157164599016898
69,technician,married,tertiary,no,482,no,no,cellular,29,jul,478,1,267,1,failure,yes,-0.2891131346020639
35,technician,married,secondary,no,55,yes,no,unknown,9,may,79,4,-1,0,unknown,no,-0.42935535562601784
30,management,single,tertiary,no,1692,yes,no,cellular,15,may,251,1,-1,0,unknown,no,0.1082945643182741
36,unemployed,single,primary,no,1201,yes,no,unknown,5,jun,57,1,-1,0,unknown,no,-0.05296756805353246
45,technician,married,secondary,no,1395,yes,no,cellular,11,aug,243,4,-1,0,unknown,no,0.010749038219645688
27,unknown,single,tertiary,no,6421,no,no,telephone,28,jan,147,4,-1,0,unknown,no,1.661468951255694
38,technician,single,secondary,no,31,yes,no,cellular,11,jul,891,2,-1,0,unknown,no,-0.4372378223814626
40,admin.,married,secondary,no,220,yes,no,unknown,30,jun,69,3,-1,0,unknown,no,-0.3751633966823354
30,technician,single,unknown,no,766,no,no,cellular,30,apr,296,1,-1,0,unknown,no,-0.195837277995968
55,admin.,married,secondary,no,602,no,no,cellular,4,feb,390,2,150,6,success,yes,-0.24970080082484028
47,blue-collar,married,secondary,no,5041,no,no,cellular,20,nov,184,1,-1,0,unknown,no,1.2082271128176227
56,blue-collar,divorced,primary,yes,-1,no,no,cellular,18,jul,304,3,-1,0,unknown,no,-0.44774777805538885
31,technician,single,tertiary,no,208,no,no,cellular,12,aug,1344,7,-1,0,unknown,yes,-0.3791046300600578
35,technician,married,tertiary,no,122,no,no,cellular,27,mar,277,1,-1,0,unknown,no,-0.4073501359337347
68,retired,divorced,primary,no,476,no,no,telephone,28,jun,363,1,-1,0,unknown,yes,-0.29108375129092506
39,management,married,tertiary,no,305,yes,no,unknown,7,may,275,6,-1,0,unknown,no,-0.3472463269234687
30,student,single,secondary,no,48,no,no,cellular,18,aug,161,1,173,1,failure,yes,-0.4316544084296892
36,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,171,1,172,3,failure,no,-0.4474193419405787
37,blue-collar,married,unknown,no,897,yes,no,cellular,13,apr,119,2,280,2,failure,no,-0.15281214695583226
48,management,divorced,tertiary,no,-130,yes,no,cellular,29,sep,110,2,61,9,failure,no,-0.4901160368659042
27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success,yes,0.11749077553295961
33,blue-collar,married,primary,no,3868,yes,no,unknown,2,jun,445,1,-1,0,unknown,no,0.822971550145262
35,management,married,tertiary,no,1336,no,no,unknown,21,may,59,2,-1,0,unknown,no,-0.008628692554155916
28,blue-collar,married,secondary,no,83,yes,no,cellular,15,may,224,1,-1,0,unknown,no,-0.42015914441133234
74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,unknown,yes,0.11552015884409843
59,management,married,tertiary,no,3779,no,no,cellular,18,aug,93,3,-1,0,unknown,no,0.7937407359271546
34,admin.,married,secondary,no,475,yes,no,unknown,7,may,559,1,-1,0,unknown,no,-0.29141218740573527
57,technician,married,unknown,no,587,no,no,telephone,5,feb,131,3,-1,0,unknown,no,-0.2546273425469932
37,admin.,married,tertiary,no,23,yes,no,telephone,28,may,71,1,90,1,other,no,-0.43986531129994416
59,retired,married,secondary,no,2291,no,yes,cellular,19,nov,190,1,128,3,failure,no,0.3050277970895819
32,admin.,married,secondary,no,506,yes,no,unknown,23,may,188,6,-1,0,unknown,no,-0.28123066784661915
51,management,single,tertiary,no,1277,no,no,cellular,22,feb,143,5,294,1,failure,no,-0.028006423327957518
52,admin.,married,primary,no,204,no,no,cellular,19,aug,123,2,-1,0,unknown,no,-0.38041837451929855
34,management,married,tertiary,no,520,yes,no,cellular,12,aug,1307,4,-1,0,unknown,yes,-0.2766325622392764
45,services,single,secondary,no,-139,yes,no,unknown,9,may,663,3,-1,0,unknown,no,-0.493071961899196
35,admin.,married,secondary,yes,0,yes,yes,cellular,18,nov,17,1,-1,0,unknown,no,-0.4474193419405787
28,technician,single,secondary,no,799,yes,no,cellular,25,jul,295,1,-1,0,unknown,no,-0.18499888620723154
29,management,married,secondary,no,-420,yes,no,cellular,2,feb,77,3,-1,0,unknown,no,-0.5853625101608613
46,services,married,secondary,no,692,yes,no,cellular,9,feb,388,3,257,2,failure,no,-0.22014155049192258
45,services,married,secondary,no,-32,no,no,cellular,28,jan,56,2,-1,0,unknown,no,-0.45792929761450496
32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes,1.0847351336489888
39,blue-collar,married,secondary,no,747,yes,yes,cellular,19,nov,209,2,180,1,other,no,-0.20207756417736175
31,management,single,tertiary,no,1475,yes,yes,unknown,2,jun,76,1,-1,0,unknown,no,0.03702392740446142
46,blue-collar,married,secondary,no,3999,no,no,cellular,20,nov,202,1,-1,0,unknown,no,0.8659966811853979
48,admin.,divorced,secondary,no,-212,yes,yes,unknown,26,may,76,1,-1,0,unknown,no,-0.5170477982803404
44,technician,married,secondary,no,1,no,yes,unknown,2,jul,108,3,-1,0,unknown,no,-0.4470909058257685
30,blue-collar,single,secondary,no,5,yes,no,cellular,4,feb,196,1,-1,0,unknown,no,-0.4457771613665277
39,services,single,secondary,no,445,no,no,telephone,18,aug,108,1,-1,0,unknown,no,-0.3012652708500412
45,unemployed,married,primary,no,1292,yes,no,unknown,14,may,70,2,-1,0,unknown,no,-0.02307988160580457
33,admin.,divorced,secondary,no,140,yes,no,unknown,8,may,139,1,-1,0,unknown,no,-0.40143828586715113
51,blue-collar,married,primary,no,296,yes,no,cellular,4,may,211,5,-1,0,unknown,no,-0.35020225195676047
38,self-employed,married,tertiary,no,2084,yes,no,cellular,16,apr,71,2,330,2,failure,no,0.23704152132387118
56,retired,divorced,secondary,no,275,yes,yes,cellular,10,jul,323,1,-1,0,unknown,no,-0.3570994103677746
34,blue-collar,married,secondary,no,113,yes,no,cellular,13,may,16,2,-1,0,unknown,no,-0.41030606096702643
32,admin.,married,secondary,no,3,yes,yes,cellular,15,jul,612,4,-1,0,unknown,no,-0.4464340335961481
34,blue-collar,married,secondary,no,528,yes,no,unknown,21,may,85,1,-1,0,unknown,no,-0.2740050733207948
33,management,single,tertiary,no,923,yes,no,unknown,30,may,118,6,-1,0,unknown,no,-0.14427280797076714
34,blue-collar,married,primary,no,6352,yes,no,cellular,5,may,338,4,288,2,other,no,1.6388068593337906
54,admin.,married,secondary,no,5084,yes,yes,cellular,8,jul,69,1,-1,0,unknown,no,1.2223498657544611
29,blue-collar,single,secondary,no,223,no,no,cellular,24,jul,1259,1,-1,0,unknown,no,-0.37417808833790484
54,admin.,married,secondary,no,222,yes,no,unknown,9,may,45,2,-1,0,unknown,no,-0.374506524452715
26,technician,divorced,tertiary,no,-70,no,yes,unknown,1,jul,1992,2,-1,0,unknown,no,-0.47040986997729245
36,management,married,secondary,no,122,yes,no,unknown,19,may,39,7,-1,0,unknown,no,-0.4073501359337347
28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866,2,-1,0,unknown,no,-0.3735212161082844
55,entrepreneur,married,primary,no,298,yes,no,unknown,8,may,144,3,-1,0,unknown,no,-0.34954537972714006
25,management,single,tertiary,no,1259,no,no,cellular,12,mar,85,1,-1,0,unknown,no,-0.03391827339454106
47,entrepreneur,married,tertiary,no,0,no,no,telephone,18,nov,103,2,-1,0,unknown,no,-0.4474193419405787
27,services,single,secondary,no,118,yes,yes,unknown,12,may,53,1,-1,0,unknown,no,-0.40866388039297546
32,management,single,tertiary,no,1954,yes,yes,cellular,10,sep,107,1,-1,0,unknown,no,0.19434482639854564
51,blue-collar,married,secondary,no,548,no,no,cellular,22,aug,511,4,-1,0,unknown,no,-0.2674363510245909
42,services,married,secondary,no,120,yes,no,cellular,17,apr,179,1,-1,0,unknown,no,-0.40800700816335506
46,admin.,single,secondary,no,1544,yes,no,unknown,29,may,609,1,-1,0,unknown,no,0.05968601932636499
45,blue-collar,married,secondary,no,2644,yes,no,cellular,21,nov,36,2,-1,0,unknown,no,0.4209657456175813
29,admin.,married,secondary,no,111,no,yes,cellular,11,jul,114,1,-1,0,unknown,no,-0.41096293319664684
37,technician,married,tertiary,no,0,yes,yes,cellular,23,jul,155,2,-1,0,unknown,no,-0.4474193419405787
28,admin.,married,secondary,no,170,yes,yes,unknown,21,may,492,1,-1,0,unknown,no,-0.3915852024228452
31,technician,married,tertiary,no,0,no,no,cellular,29,aug,70,2,-1,0,unknown,no,-0.4474193419405787
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no,-0.18992542792938447
40,entrepreneur,married,tertiary,no,121,yes,no,cellular,22,jul,80,1,-1,0,unknown,no,-0.40767857204854485
32,management,single,tertiary,no,41,yes,no,cellular,7,may,449,1,338,1,other,no,-0.4339534612333606
35,self-employed,single,tertiary,no,538,yes,yes,cellular,19,nov,308,1,195,9,failure,no,-0.27072071217269283
38,technician,single,secondary,no,42,yes,no,unknown,7,may,195,2,-1,0,unknown,no,-0.4336250251185504
33,technician,divorced,secondary,yes,10,yes,yes,cellular,18,nov,167,5,-1,0,unknown,no,-0.4441349807924767
44,management,married,tertiary,no,38,no,no,cellular,22,aug,98,5,-1,0,unknown,no,-0.4349387695777912
49,blue-collar,married,secondary,no,102,no,no,cellular,29,aug,210,2,-1,0,unknown,no,-0.4139188582299386
51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure,no,-0.37187903553423346
41,technician,married,secondary,no,112,yes,no,cellular,18,nov,55,1,-1,0,unknown,no,-0.41063449708183664
40,blue-collar,married,secondary,no,-450,yes,no,cellular,15,may,181,1,-1,0,unknown,no,-0.5952155936051672
41,unemployed,married,tertiary,no,0,no,no,cellular,30,oct,373,3,-1,0,unknown,yes,-0.4474193419405787
26,technician,married,tertiary,no,-488,yes,no,unknown,3,jun,320,1,-1,0,unknown,no,-0.6076961659679546
52,admin.,married,secondary,no,2347,no,yes,cellular,12,aug,603,3,-1,0,unknown,no,0.32342021951895294
28,services,single,secondary,no,-116,no,yes,cellular,4,jul,276,1,-1,0,unknown,no,-0.48551793125856146
40,unemployed,single,tertiary,no,79,no,no,cellular,15,oct,570,1,135,1,failure,yes,-0.42147288887057316
32,blue-collar,married,secondary,no,-230,yes,no,cellular,14,jul,331,2,-1,0,unknown,no,-0.5229596483469239
47,management,single,tertiary,no,334,yes,no,cellular,28,jun,614,3,94,9,success,yes,-0.337721679593973
59,retired,married,primary,no,4007,no,no,cellular,28,may,581,3,63,6,failure,no,0.8686241701038794
35,blue-collar,married,primary,no,2708,yes,no,unknown,30,may,178,2,-1,0,unknown,no,0.4419856569654339
33,entrepreneur,divorced,tertiary,no,188,yes,no,unknown,7,may,118,3,-1,0,unknown,no,-0.3856733523562617
26,technician,single,secondary,no,84,yes,no,cellular,29,jul,70,3,-1,0,unknown,no,-0.41983070829652214
28,unemployed,single,secondary,no,434,yes,no,cellular,30,apr,257,1,-1,0,unknown,no,-0.3048780681129533
58,management,married,tertiary,no,287,yes,no,cellular,21,aug,676,8,-1,0,unknown,no,-0.35315817699005225
42,technician,married,secondary,no,8036,no,no,unknown,9,jun,948,5,-1,0,unknown,no,2.1918932766741617
30,technician,married,secondary,no,817,yes,no,cellular,22,aug,180,4,-1,0,unknown,no,-0.179087036140648
59,unknown,single,secondary,no,3237,no,no,unknown,6,jun,100,3,-1,0,unknown,no,0.615728361700028
45,admin.,married,secondary,no,153,no,no,cellular,5,aug,277,1,-1,0,unknown,yes,-0.3971686163746186
51,management,married,tertiary,no,721,no,no,unknown,16,jun,276,3,-1,0,unknown,no,-0.21061690316242687
49,management,married,tertiary,no,85,yes,no,cellular,14,may,590,5,359,1,other,yes,-0.41950227218171193
27,management,married,secondary,no,2,yes,no,cellular,22,jul,493,5,-1,0,unknown,no,-0.4467624697109583
32,admin.,married,secondary,no,0,yes,no,cellular,30,jul,71,5,-1,0,unknown,no,-0.4474193419405787
36,entrepreneur,married,secondary,no,2971,no,no,cellular,12,nov,247,1,97,8,failure,yes,0.5283643551605156
52,admin.,divorced,secondary,no,361,no,yes,cellular,20,nov,147,1,-1,0,unknown,no,-0.3288539044940977
27,technician,married,secondary,no,241,no,yes,unknown,26,feb,889,1,-1,0,unknown,no,-0.36826623827132127
46,management,single,tertiary,no,3,no,no,cellular,8,jul,85,1,-1,0,unknown,no,-0.4464340335961481
34,services,single,secondary,no,-701,yes,no,cellular,11,may,610,2,-1,0,unknown,yes,-0.6776530584225265
45,management,single,tertiary,no,16,no,no,cellular,31,jul,59,2,-1,0,unknown,no,-0.44216436410361554
45,blue-collar,married,primary,no,0,yes,no,telephone,11,may,64,1,362,7,failure,no,-0.4474193419405787
46,self-employed,single,secondary,no,526,no,no,cellular,30,apr,523,1,87,2,other,yes,-0.27466194555041523
51,housemaid,married,primary,no,0,yes,no,telephone,30,jul,191,3,-1,0,unknown,no,-0.4474193419405787
55,management,married,tertiary,no,979,no,yes,cellular,8,jul,123,1,-1,0,unknown,no,-0.12588038554139613
32,services,married,secondary,no,-173,yes,no,cellular,28,jul,300,2,-1,0,unknown,no,-0.5042387898027427
46,admin.,divorced,secondary,no,1203,no,no,cellular,30,jul,227,8,-1,0,unknown,no,-0.052310695823912075
32,blue-collar,married,secondary,no,23,yes,no,unknown,16,may,77,1,-1,0,unknown,no,-0.43986531129994416
34,admin.,married,secondary,no,395,yes,no,cellular,14,apr,258,8,-1,0,unknown,no,-0.317687076590551
58,unknown,single,secondary,no,311,no,no,unknown,6,jun,248,2,-1,0,unknown,no,-0.3452757102346075
41,blue-collar,married,secondary,no,429,yes,no,unknown,13,may,244,1,-1,0,unknown,no,-0.3065202486870043
43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no,-0.3048780681129533
39,housemaid,married,primary,no,0,yes,no,cellular,19,aug,92,4,-1,0,unknown,no,-0.4474193419405787
48,management,married,tertiary,no,494,no,no,cellular,29,aug,81,8,-1,0,unknown,no,-0.2851719012243415
50,blue-collar,married,primary,no,-219,no,yes,cellular,20,aug,177,2,-1,0,unknown,no,-0.5193468510840118
52,admin.,married,secondary,no,686,no,no,cellular,30,jul,544,2,-1,0,unknown,no,-0.22211216718078375
30,technician,single,secondary,no,865,no,no,cellular,4,feb,114,1,-1,0,unknown,no,-0.16332210262975855
37,management,divorced,secondary,no,0,yes,no,unknown,18,jun,187,1,-1,0,unknown,no,-0.4474193419405787
58,retired,married,tertiary,no,3628,no,no,unknown,16,jun,109,2,-1,0,unknown,no,0.7441468825908149
33,self-employed,single,tertiary,no,658,yes,no,cellular,12,oct,146,2,183,3,failure,no,-0.23130837839546925
31,services,married,secondary,no,2050,yes,no,cellular,18,nov,271,5,-1,0,unknown,no,0.2258746934203245
36,blue-collar,married,secondary,no,-870,yes,no,unknown,26,may,102,2,-1,0,unknown,no,-0.7331587618254498
36,services,married,secondary,no,0,yes,no,cellular,8,may,346,1,368,1,failure,no,-0.4474193419405787
60,retired,married,primary,no,0,no,no,unknown,1,jul,36,1,-1,0,unknown,no,-0.4474193419405787
34,housemaid,married,tertiary,no,1265,yes,no,unknown,6,jun,397,3,-1,0,unknown,no,-0.03194765670567988
32,blue-collar,married,secondary,no,1,yes,no,cellular,18,nov,77,3,-1,0,unknown,no,-0.4470909058257685
26,blue-collar,single,secondary,no,463,no,yes,cellular,2,jul,248,2,-1,0,unknown,yes,-0.2953534207834576
46,unemployed,single,secondary,no,836,no,no,cellular,18,nov,95,1,-1,0,unknown,no,-0.17284674995925425
57,admin.,married,tertiary,no,9311,no,no,unknown,20,jun,485,3,-1,0,unknown,no,2.6106493230571624
27,blue-collar,married,primary,no,108,yes,no,telephone,28,jul,57,2,-1,0,unknown,no,-0.41194824154107745
50,technician,married,primary,no,249,yes,no,unknown,6,may,129,1,-1,0,unknown,no,-0.3656387493528397
37,services,married,secondary,yes,-954,yes,no,unknown,21,may,111,3,-1,0,unknown,no,-0.7607473954695063
34,management,married,tertiary,no,362,yes,no,unknown,30,may,38,3,-1,0,unknown,no,-0.3285254683792875
30,management,married,tertiary,no,451,no,no,cellular,5,may,173,1,274,3,failure,no,-0.29929465416117995
31,housemaid,married,secondary,no,243,yes,no,cellular,23,sep,305,2,842,1,failure,yes,-0.36760936604170086
34,technician,married,tertiary,no,178,yes,no,cellular,18,nov,85,1,-1,0,unknown,no,-0.38895771350436364
45,services,married,secondary,no,191,no,yes,unknown,6,jun,136,2,-1,0,unknown,no,-0.3846880440118311
36,technician,divorced,secondary,no,515,yes,yes,cellular,8,may,104,4,252,3,failure,no,-0.27827474281332737
44,housemaid,married,primary,no,398,no,no,cellular,7,jul,187,3,-1,0,unknown,no,-0.3167017682461204
59,admin.,single,secondary,no,4744,no,no,cellular,4,sep,879,1,-1,0,unknown,yes,1.1106815867189943
36,admin.,divorced,tertiary,no,4708,no,no,cellular,3,dec,284,1,171,1,failure,yes,1.0988578865858272
43,technician,divorced,secondary,no,305,yes,no,cellular,5,may,674,2,250,4,failure,no,-0.3472463269234687
53,admin.,married,secondary,no,1661,yes,yes,cellular,17,nov,85,1,-1,0,unknown,no,0.09811304475915801
39,admin.,married,secondary,no,179,no,no,unknown,6,sep,36,1,-1,0,unknown,no,-0.38862927738955344
35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,-1,0,unknown,yes,-0.39979610529310017
52,unemployed,married,primary,no,425,no,no,unknown,19,jun,122,1,-1,0,unknown,no,-0.3078339931462451
35,unemployed,single,primary,yes,-84,no,no,cellular,9,feb,19,11,-1,0,unknown,no,-0.4750079755846352
48,management,married,tertiary,no,7289,yes,no,cellular,2,feb,316,3,-1,0,unknown,no,1.9465514989109447
50,entrepreneur,married,secondary,no,78,no,no,telephone,4,jun,143,1,-1,0,unknown,no,-0.4218013249853833
41,blue-collar,married,secondary,no,-648,yes,no,cellular,12,may,104,3,172,2,failure,no,-0.6602459443375861
41,blue-collar,married,secondary,no,49,yes,no,cellular,15,may,342,2,-1,0,unknown,no,-0.431325972314879
55,blue-collar,divorced,primary,no,39,yes,no,unknown,13,may,343,1,-1,0,unknown,no,-0.434610333462981
54,management,single,tertiary,no,2081,no,no,cellular,1,oct,395,2,108,1,failure,no,0.2360562129794406
50,blue-collar,married,secondary,no,1498,yes,no,cellular,18,jul,223,1,-1,0,unknown,no,0.04457795804509595
31,unemployed,married,secondary,no,3242,no,no,unknown,25,jun,292,2,-1,0,unknown,no,0.617370542274079
26,student,single,secondary,no,502,yes,no,telephone,7,may,82,1,-1,0,unknown,no,-0.2825444123058599
55,blue-collar,married,unknown,no,23,no,no,cellular,30,jan,143,1,2,3,other,no,-0.43986531129994416
43,management,married,tertiary,no,870,yes,yes,unknown,8,may,528,1,-1,0,unknown,no,-0.16167992205570755
55,services,married,secondary,no,477,no,no,unknown,19,jun,170,1,-1,0,unknown,no,-0.29075531517611486
40,blue-collar,married,secondary,no,755,no,no,cellular,23,jul,145,1,-1,0,unknown,no,-0.19945007525888017
40,blue-collar,married,secondary,yes,-94,yes,yes,unknown,7,may,227,1,-1,0,unknown,no,-0.47829233673273713
56,technician,married,tertiary,no,1062,no,no,unknown,20,jun,37,2,-1,0,unknown,no,-0.0986201880121498
42,admin.,married,secondary,no,641,no,no,cellular,4,aug,111,1,1,1,other,no,-0.2368917923472426
30,student,single,tertiary,no,7529,no,no,cellular,19,oct,328,1,-1,0,unknown,yes,2.0253761664653918
50,technician,married,secondary,no,-70,no,no,cellular,6,aug,386,2,-1,0,unknown,no,-0.47040986997729245
47,management,single,tertiary,no,6651,no,no,cellular,8,jul,229,1,412,2,failure,yes,1.7370092576620393
37,admin.,divorced,secondary,no,0,yes,yes,cellular,5,may,358,1,-1,0,unknown,no,-0.4474193419405787
55,admin.,single,secondary,yes,986,no,yes,cellular,2,feb,12,3,-1,0,unknown,no,-0.12358133273772474
27,student,single,tertiary,no,5291,no,no,cellular,12,aug,345,2,-1,0,unknown,no,1.290336141520172
58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,0.2564192520976728
38,blue-collar,single,secondary,no,2707,yes,no,cellular,17,jul,120,3,-1,0,unknown,no,0.4416572208506237
53,services,divorced,secondary,no,-223,no,no,unknown,20,jun,160,1,-1,0,unknown,no,-0.5206605955432525
35,management,married,tertiary,no,-273,yes,no,cellular,16,jul,344,3,-1,0,unknown,no,-0.5370824012837624
60,management,married,tertiary,no,5041,no,no,cellular,4,may,8,7,181,1,success,no,1.2082271128176227
34,admin.,single,secondary,no,745,yes,yes,cellular,25,aug,76,1,-1,0,unknown,no,-0.20273443640698216
25,technician,divorced,secondary,no,86,no,yes,cellular,8,jul,483,2,-1,0,unknown,no,-0.4191738360669018
48,technician,married,secondary,no,17,yes,yes,cellular,17,nov,81,1,-1,0,unknown,no,-0.44183592798880533
47,blue-collar,married,secondary,no,3696,yes,no,cellular,19,nov,635,3,170,2,failure,no,0.7664805383979082
28,admin.,married,secondary,no,330,no,no,cellular,2,jun,226,2,182,4,success,yes,-0.3390354240532138
65,retired,married,unknown,no,300,no,no,cellular,12,jan,105,1,-1,0,unknown,no,-0.34888850749751965
41,management,married,tertiary,no,2676,no,no,cellular,28,aug,210,4,-1,0,unknown,no,0.43147570129150764
42,unemployed,married,secondary,no,0,yes,no,cellular,13,may,74,3,-1,0,unknown,no,-0.4474193419405787
26,management,single,tertiary,no,0,no,yes,cellular,2,feb,145,1,199,1,failure,no,-0.4474193419405787
49,technician,married,secondary,no,808,yes,no,cellular,28,jan,1232,1,-1,0,unknown,yes,-0.18204296117393975
75,retired,married,primary,no,2970,no,no,cellular,12,aug,641,1,-1,0,unknown,yes,0.5280359190457055
51,blue-collar,married,primary,no,6343,yes,no,cellular,26,aug,28,20,-1,0,unknown,no,1.6358509343004988
34,blue-collar,married,secondary,no,800,no,no,cellular,5,apr,144,1,-1,0,unknown,yes,-0.18467045009242133
36,blue-collar,married,primary,no,4143,no,yes,unknown,16,jun,78,5,-1,0,unknown,no,0.9132914817180662
59,management,married,tertiary,no,82,yes,no,cellular,17,apr,324,4,-1,0,unknown,no,-0.42048758052614255
55,admin.,married,primary,no,343,yes,no,cellular,14,jul,276,3,-1,0,unknown,no,-0.3347657545606812
30,services,married,primary,no,1015,yes,no,cellular,20,nov,24,1,113,8,failure,no,-0.11405668540822905
34,blue-collar,married,secondary,no,398,yes,no,cellular,3,jun,161,2,-1,0,unknown,no,-0.3167017682461204
33,management,married,tertiary,no,1323,no,no,cellular,15,sep,109,2,106,1,success,no,-0.012898362046688473
55,management,married,primary,no,19,yes,no,unknown,16,may,56,3,-1,0,unknown,no,-0.4411790557591849
37,management,married,tertiary,no,26,no,no,cellular,17,jun,151,7,62,4,failure,no,-0.43888000295551355
48,blue-collar,single,secondary,no,574,no,no,cellular,12,may,328,2,-1,0,unknown,no,-0.25889701203952575
35,management,single,secondary,no,5260,yes,no,unknown,20,may,211,2,-1,0,unknown,no,1.2801546219610558
22,student,single,secondary,no,1925,no,no,cellular,4,may,180,1,-1,0,unknown,no,0.18482017906904993
45,management,single,tertiary,no,2532,no,no,cellular,29,jul,64,6,-1,0,unknown,no,0.3841809007588393
